account_id,customer_id,account_type,currency,current_balance,status,opened_at
ACC-0001,CUST-0600,CREDIT_CARD,INR,110261.53,ACTIVE,2024-05-28 00:00:00
ACC-0002,CUST-0095,CREDIT_CARD,INR,142919.58,ACTIVE,2025-03-23 00:00:00
ACC-0003,CUST-0350,CURRENT,INR,415908.98,ACTIVE,2025-10-22 00:00:00
ACC-0004,CUST-0984,CURRENT,INR,107227.49,ACTIVE,2024-04-06 00:00:00
ACC-0005,CUST-0758,CURRENT,INR,260038.65,ACTIVE,2025-09-20 00:00:00
ACC-0006,CUST-0501,LOAN,INR,153619.22,ACTIVE,2024-12-05 00:00:00
ACC-0007,CUST-0384,SAVINGS,INR,418214.96,ACTIVE,2025-11-05 00:00:00
ACC-0008,CUST-0184,CURRENT,INR,74267.72,ACTIVE,2024-12-01 00:00:00
ACC-0009,CUST-0294,SAVINGS,INR,231412.72,ACTIVE,2024-06-28 00:00:00
ACC-0010,CUST-0217,SAVINGS,INR,131030.32,ACTIVE,2025-02-11 00:00:00
ACC-0011,CUST-0782,CREDIT_CARD,INR,84599.45,ACTIVE,2024-09-15 00:00:00
ACC-0012,CUST-0041,CURRENT,INR,174481.3,ACTIVE,2026-04-20 00:00:00
ACC-0013,CUST-0782,CREDIT_CARD,INR,167108.1,ACTIVE,2025-07-28 00:00:00
ACC-0014,CUST-0453,SAVINGS,INR,391108.09,ACTIVE,2025-06-23 00:00:00
ACC-0015,CUST-0366,CREDIT_CARD,INR,126306.4,ACTIVE,2024-10-28 00:00:00
ACC-0016,CUST-0641,CURRENT,INR,302566.79,ACTIVE,2026-04-04 00:00:00
ACC-0017,CUST-0521,CREDIT_CARD,INR,54165.5,ACTIVE,2025-02-12 00:00:00
ACC-0018,CUST-0320,CREDIT_CARD,INR,39822.75,ACTIVE,2025-09-26 00:00:00
ACC-0019,CUST-0959,CURRENT,INR,11260.37,ACTIVE,2025-02-18 00:00:00
ACC-0020,CUST-0383,CURRENT,INR,197208.79,ACTIVE,2025-03-26 00:00:00
ACC-0021,CUST-0051,CREDIT_CARD,INR,266425.94,ACTIVE,2024-09-29 00:00:00
ACC-0022,CUST-0715,LOAN,INR,445656.05,ACTIVE,2026-01-30 00:00:00
ACC-0023,CUST-0492,CREDIT_CARD,INR,23899.94,ACTIVE,2025-08-03 00:00:00
ACC-0024,CUST-0919,SAVINGS,INR,310336.41,ACTIVE,2025-07-16 00:00:00
ACC-0025,CUST-0389,SAVINGS,INR,461420.06,ACTIVE,2025-04-19 00:00:00
ACC-0026,CUST-0285,CURRENT,INR,211383.41,ACTIVE,2026-02-05 00:00:00
ACC-0027,CUST-0723,LOAN,INR,100802.01,ACTIVE,2025-08-29 00:00:00
ACC-0028,CUST-0110,LOAN,INR,376532.77,ACTIVE,2024-03-25 00:00:00
ACC-0029,CUST-0452,CREDIT_CARD,INR,290325.8,ACTIVE,2025-12-30 00:00:00
ACC-0030,CUST-0958,CREDIT_CARD,INR,31055.19,ACTIVE,2025-02-16 00:00:00
ACC-0031,CUST-0032,CURRENT,INR,47456.34,ACTIVE,2025-09-20 00:00:00
ACC-0032,CUST-0217,SAVINGS,INR,36689.05,ACTIVE,2025-08-08 00:00:00
ACC-0033,CUST-0361,CREDIT_CARD,INR,313068.17,ACTIVE,2025-06-25 00:00:00
ACC-0034,CUST-0772,CREDIT_CARD,INR,364474.56,ACTIVE,2024-03-23 00:00:00
ACC-0035,CUST-0616,LOAN,INR,54158.7,ACTIVE,2026-02-21 00:00:00
ACC-0036,CUST-0446,CREDIT_CARD,INR,225543.42,ACTIVE,2025-10-03 00:00:00
ACC-0037,CUST-0227,SAVINGS,INR,402787.46,ACTIVE,2025-03-22 00:00:00
ACC-0038,CUST-0627,CREDIT_CARD,INR,105600.78,ACTIVE,2024-09-02 00:00:00
ACC-0039,CUST-0719,CREDIT_CARD,INR,132642.6,ACTIVE,2025-04-08 00:00:00
ACC-0040,CUST-0343,CURRENT,INR,245059.87,ACTIVE,2025-05-28 00:00:00
ACC-0041,CUST-0012,SAVINGS,INR,412555.87,ACTIVE,2025-04-06 00:00:00
ACC-0042,CUST-0158,SAVINGS,INR,495534.16,ACTIVE,2025-10-04 00:00:00
ACC-0043,CUST-0580,SAVINGS,INR,158601.12,ACTIVE,2025-12-19 00:00:00
ACC-0044,CUST-0851,CURRENT,INR,81937.99,ACTIVE,2025-05-14 00:00:00
ACC-0045,CUST-0867,SAVINGS,INR,40065.93,ACTIVE,2025-01-07 00:00:00
ACC-0046,CUST-0532,CURRENT,INR,329628.01,ACTIVE,2025-04-04 00:00:00
ACC-0047,CUST-0660,CURRENT,INR,480366.76,ACTIVE,2024-05-08 00:00:00
ACC-0048,CUST-0968,LOAN,INR,280849.55,ACTIVE,2025-01-23 00:00:00
ACC-0049,CUST-0947,LOAN,INR,375216.24,ACTIVE,2024-10-25 00:00:00
ACC-0050,CUST-0799,SAVINGS,INR,238124.75,ACTIVE,2025-03-19 00:00:00
ACC-0051,CUST-0746,SAVINGS,INR,127224.59,ACTIVE,2025-06-20 00:00:00
ACC-0052,CUST-0163,SAVINGS,INR,251610.73,ACTIVE,2025-02-08 00:00:00
ACC-0053,CUST-0948,CREDIT_CARD,INR,66222.29,ACTIVE,2025-04-12 00:00:00
ACC-0054,CUST-0359,CREDIT_CARD,INR,250738.59,ACTIVE,2024-11-29 00:00:00
ACC-0055,CUST-0357,CREDIT_CARD,INR,241591.68,ACTIVE,2024-06-07 00:00:00
ACC-0056,CUST-0448,LOAN,INR,222157.93,ACTIVE,2025-09-06 00:00:00
ACC-0057,CUST-0286,CREDIT_CARD,INR,255580.16,ACTIVE,2025-12-29 00:00:00
ACC-0058,CUST-0028,CURRENT,INR,374319.68,ACTIVE,2024-09-26 00:00:00
ACC-0059,CUST-0807,CURRENT,INR,177771.87,ACTIVE,2024-06-14 00:00:00
ACC-0060,CUST-0737,SAVINGS,INR,325644.01,ACTIVE,2024-07-12 00:00:00
ACC-0061,CUST-0955,LOAN,INR,119863.67,ACTIVE,2025-04-14 00:00:00
ACC-0062,CUST-0908,CREDIT_CARD,INR,146116.26,ACTIVE,2025-08-15 00:00:00
ACC-0063,CUST-0288,CURRENT,INR,105368.46,ACTIVE,2025-11-05 00:00:00
ACC-0064,CUST-0593,CREDIT_CARD,INR,361446.39,ACTIVE,2024-04-18 00:00:00
ACC-0065,CUST-0029,CURRENT,INR,30609.43,ACTIVE,2024-09-08 00:00:00
ACC-0066,CUST-0934,CREDIT_CARD,INR,428011.91,ACTIVE,2024-12-11 00:00:00
ACC-0067,CUST-0249,CREDIT_CARD,INR,463872.81,ACTIVE,2024-07-07 00:00:00
ACC-0068,CUST-0676,CURRENT,INR,12199.61,ACTIVE,2025-01-04 00:00:00
ACC-0069,CUST-0127,SAVINGS,INR,36474.69,ACTIVE,2025-09-23 00:00:00
ACC-0070,CUST-0398,CURRENT,INR,246892.65,ACTIVE,2025-10-09 00:00:00
ACC-0071,CUST-0795,SAVINGS,INR,351665.7,ACTIVE,2025-06-20 00:00:00
ACC-0072,CUST-0389,SAVINGS,INR,374342.65,ACTIVE,2024-05-14 00:00:00
ACC-0073,CUST-0541,LOAN,INR,211389.9,ACTIVE,2025-06-20 00:00:00
ACC-0074,CUST-0086,CREDIT_CARD,INR,177864.42,ACTIVE,2025-10-12 00:00:00
ACC-0075,CUST-0763,LOAN,INR,398163.87,ACTIVE,2024-04-04 00:00:00
ACC-0076,CUST-0205,CREDIT_CARD,INR,158026.57,ACTIVE,2025-10-26 00:00:00
ACC-0077,CUST-0447,CREDIT_CARD,INR,22860.6,ACTIVE,2024-11-04 00:00:00
ACC-0078,CUST-0944,LOAN,INR,89545.89,ACTIVE,2026-01-14 00:00:00
ACC-0079,CUST-0679,CREDIT_CARD,INR,397669.83,ACTIVE,2025-01-05 00:00:00
ACC-0080,CUST-0971,LOAN,INR,365826.46,ACTIVE,2024-03-24 00:00:00
ACC-0081,CUST-0144,LOAN,INR,338942.9,ACTIVE,2025-06-29 00:00:00
ACC-0082,CUST-0403,CURRENT,INR,75907.95,ACTIVE,2026-01-05 00:00:00
ACC-0083,CUST-0036,CURRENT,INR,446718.82,ACTIVE,2024-08-17 00:00:00
