counterparty_id,counterparty_name,bank_name,country,risk_category
CP-0001,Counterparty Entity 1,SBI,IND,NORMAL
CP-0002,Counterparty Entity 2,Axis Bank,IND,NORMAL
CP-0003,Counterparty Entity 3,SBI,IND,NORMAL
CP-0004,Counterparty Entity 4,SBI,IND,NORMAL
CP-0005,Counterparty Entity 5,ICICI Bank,IND,NORMAL
CP-0006,Counterparty Entity 6,Kotak Bank,IND,NORMAL
CP-0007,Counterparty Entity 7,SBI,IND,NORMAL
CP-0008,Counterparty Entity 8,Kotak Bank,IND,NORMAL
CP-0009,Counterparty Entity 9,SBI,IND,NORMAL
CP-0010,Counterparty Entity 10,ICICI Bank,IND,HIGH_RISK
CP-0011,Counterparty Entity 11,Kotak Bank,IND,NORMAL
CP-0012,Counterparty Entity 12,Kotak Bank,IND,NORMAL
CP-0013,Counterparty Entity 13,ICICI Bank,IND,NORMAL
CP-0014,Counterparty Entity 14,HDFC Bank,IND,NORMAL
CP-0015,Counterparty Entity 15,Axis Bank,IND,NORMAL
CP-0016,Counterparty Entity 16,ICICI Bank,IND,NORMAL
CP-0017,Counterparty Entity 17,Kotak Bank,IND,NORMAL
CP-0018,Counterparty Entity 18,ICICI Bank,IND,NORMAL
CP-0019,Counterparty Entity 19,ICICI Bank,IND,NORMAL
CP-0020,Counterparty Entity 20,HDFC Bank,IND,HIGH_RISK
CP-0021,Counterparty Entity 21,ICICI Bank,IND,NORMAL
CP-0022,Counterparty Entity 22,SBI,IND,NORMAL
CP-0023,Counterparty Entity 23,SBI,IND,NORMAL
CP-0024,Counterparty Entity 24,Axis Bank,IND,NORMAL
CP-0025,Counterparty Entity 25,ICICI Bank,IND,NORMAL
CP-0026,Counterparty Entity 26,Axis Bank,IND,NORMAL
CP-0027,Counterparty Entity 27,SBI,IND,NORMAL
CP-0028,Counterparty Entity 28,ICICI Bank,IND,NORMAL
CP-0029,Counterparty Entity 29,ICICI Bank,IND,NORMAL
CP-0030,Counterparty Entity 30,HDFC Bank,IND,HIGH_RISK
CP-0031,Counterparty Entity 31,Axis Bank,IND,NORMAL
CP-0032,Counterparty Entity 32,Axis Bank,IND,NORMAL
CP-0033,Counterparty Entity 33,HDFC Bank,IND,NORMAL
CP-0034,Counterparty Entity 34,HDFC Bank,IND,NORMAL
CP-0035,Counterparty Entity 35,Axis Bank,IND,NORMAL
CP-0036,Counterparty Entity 36,ICICI Bank,IND,NORMAL
CP-0037,Counterparty Entity 37,HDFC Bank,IND,NORMAL
CP-0038,Counterparty Entity 38,ICICI Bank,IND,NORMAL
CP-0039,Counterparty Entity 39,SBI,IND,NORMAL
CP-0040,Counterparty Entity 40,HDFC Bank,IND,HIGH_RISK
CP-0041,Counterparty Entity 41,SBI,IND,NORMAL
CP-0042,Counterparty Entity 42,SBI,IND,NORMAL
CP-0043,Counterparty Entity 43,HDFC Bank,IND,NORMAL
CP-0044,Counterparty Entity 44,ICICI Bank,IND,NORMAL
CP-0045,Counterparty Entity 45,HDFC Bank,IND,NORMAL
CP-0046,Counterparty Entity 46,SBI,IND,NORMAL
CP-0047,Counterparty Entity 47,Kotak Bank,IND,NORMAL
CP-0048,Counterparty Entity 48,ICICI Bank,IND,NORMAL
CP-0049,Counterparty Entity 49,SBI,IND,NORMAL
CP-0050,Counterparty Entity 50,SBI,IND,HIGH_RISK
CP-0051,Counterparty Entity 51,Kotak Bank,IND,NORMAL
CP-0052,Counterparty Entity 52,HDFC Bank,IND,NORMAL
CP-0053,Counterparty Entity 53,HDFC Bank,IND,NORMAL
CP-0054,Counterparty Entity 54,Axis Bank,IND,NORMAL
CP-0055,Counterparty Entity 55,Axis Bank,IND,NORMAL
CP-0056,Counterparty Entity 56,Axis Bank,IND,NORMAL
CP-0057,Counterparty Entity 57,HDFC Bank,IND,NORMAL
CP-0058,Counterparty Entity 58,ICICI Bank,IND,NORMAL
CP-0059,Counterparty Entity 59,ICICI Bank,IND,NORMAL
CP-0060,Counterparty Entity 60,HDFC Bank,IND,HIGH_RISK
CP-0061,Counterparty Entity 61,ICICI Bank,IND,NORMAL
CP-0062,Counterparty Entity 62,Axis Bank,IND,NORMAL
CP-0063,Counterparty Entity 63,HDFC Bank,IND,NORMAL
CP-0064,Counterparty Entity 64,Axis Bank,IND,NORMAL
CP-0065,Counterparty Entity 65,ICICI Bank,IND,NORMAL
CP-0066,Counterparty Entity 66,HDFC Bank,IND,NORMAL
CP-0067,Counterparty Entity 67,Kotak Bank,IND,NORMAL
CP-0068,Counterparty Entity 68,SBI,IND,NORMAL
CP-0069,Counterparty Entity 69,Axis Bank,IND,NORMAL
CP-0070,Counterparty Entity 70,SBI,IND,HIGH_RISK
CP-0071,Counterparty Entity 71,HDFC Bank,IND,NORMAL
CP-0072,Counterparty Entity 72,Axis Bank,IND,NORMAL
CP-0073,Counterparty Entity 73,Axis Bank,IND,NORMAL
CP-0074,Counterparty Entity 74,SBI,IND,NORMAL
CP-0075,Counterparty Entity 75,ICICI Bank,IND,NORMAL
CP-0076,Counterparty Entity 76,Kotak Bank,IND,NORMAL
CP-0077,Counterparty Entity 77,SBI,IND,NORMAL
CP-0078,Counterparty Entity 78,HDFC Bank,IND,NORMAL
CP-0079,Counterparty Entity 79,Axis Bank,IND,NORMAL
CP-0080,Counterparty Entity 80,ICICI Bank,IND,HIGH_RISK
CP-0081,Counterparty Entity 81,Kotak Bank,IND,NORMAL
CP-0082,Counterparty Entity 82,SBI,IND,NORMAL
CP-0083,Counterparty Entity 83,Kotak Bank,IND,NORMAL
CP-0084,Counterparty Entity 84,Kotak Bank,IND,NORMAL
CP-0085,Counterparty Entity 85,SBI,IND,NORMAL
CP-0086,Counterparty Entity 86,Axis Bank,IND,NORMAL
CP-0087,Counterparty Entity 87,HDFC Bank,IND,NORMAL
CP-0088,Counterparty Entity 88,Axis Bank,IND,NORMAL
CP-0089,Counterparty Entity 89,Axis Bank,IND,NORMAL
CP-0090,Counterparty Entity 90,HDFC Bank,IND,HIGH_RISK
CP-0091,Counterparty Entity 91,HDFC Bank,IND,NORMAL
CP-0092,Counterparty Entity 92,HDFC Bank,IND,NORMAL
CP-0093,Counterparty Entity 93,HDFC Bank,IND,NORMAL
CP-0094,Counterparty Entity 94,Axis Bank,IND,NORMAL
CP-0095,Counterparty Entity 95,Axis Bank,IND,NORMAL
CP-0096,Counterparty Entity 96,ICICI Bank,IND,NORMAL
CP-0097,Counterparty Entity 97,Kotak Bank,IND,NORMAL
CP-0098,Counterparty Entity 98,HDFC Bank,IND,NORMAL
CP-0099,Counterparty Entity 99,SBI,IND,NORMAL
CP-0100,Counterparty Entity 100,Axis Bank,IND,HIGH_RISK
CP-0101,Counterparty Entity 101,ICICI Bank,IND,NORMAL
CP-0102,Counterparty Entity 102,Axis Bank,IND,NORMAL
CP-0103,Counterparty Entity 103,HDFC Bank,IND,NORMAL
CP-0104,Counterparty Entity 104,Axis Bank,IND,NORMAL
CP-0105,Counterparty Entity 105,HDFC Bank,IND,NORMAL
CP-0106,Counterparty Entity 106,SBI,IND,NORMAL
CP-0107,Counterparty Entity 107,Kotak Bank,IND,NORMAL
CP-0108,Counterparty Entity 108,Axis Bank,IND,NORMAL
CP-0109,Counterparty Entity 109,Axis Bank,IND,NORMAL
CP-0110,Counterparty Entity 110,ICICI Bank,IND,HIGH_RISK
CP-0111,Counterparty Entity 111,SBI,IND,NORMAL
CP-0112,Counterparty Entity 112,HDFC Bank,IND,NORMAL
CP-0113,Counterparty Entity 113,SBI,IND,NORMAL
CP-0114,Counterparty Entity 114,Axis Bank,IND,NORMAL
CP-0115,Counterparty Entity 115,ICICI Bank,IND,NORMAL
CP-0116,Counterparty Entity 116,HDFC Bank,IND,NORMAL
CP-0117,Counterparty Entity 117,SBI,IND,NORMAL
CP-0118,Counterparty Entity 118,HDFC Bank,IND,NORMAL
CP-0119,Counterparty Entity 119,ICICI Bank,IND,NORMAL
CP-0120,Counterparty Entity 120,Axis Bank,IND,HIGH_RISK
CP-0121,Counterparty Entity 121,SBI,IND,NORMAL
CP-0122,Counterparty Entity 122,HDFC Bank,IND,NORMAL
CP-0123,Counterparty Entity 123,HDFC Bank,IND,NORMAL
CP-0124,Counterparty Entity 124,ICICI Bank,IND,NORMAL
CP-0125,Counterparty Entity 125,Kotak Bank,IND,NORMAL
CP-0126,Counterparty Entity 126,SBI,IND,NORMAL
CP-0127,Counterparty Entity 127,HDFC Bank,IND,NORMAL
CP-0128,Counterparty Entity 128,HDFC Bank,IND,NORMAL
CP-0129,Counterparty Entity 129,Axis Bank,IND,NORMAL
CP-0130,Counterparty Entity 130,HDFC Bank,IND,HIGH_RISK
CP-0131,Counterparty Entity 131,HDFC Bank,IND,NORMAL
CP-0132,Counterparty Entity 132,Kotak Bank,IND,NORMAL
CP-0133,Counterparty Entity 133,HDFC Bank,IND,NORMAL
CP-0134,Counterparty Entity 134,ICICI Bank,IND,NORMAL
CP-0135,Counterparty Entity 135,HDFC Bank,IND,NORMAL
CP-0136,Counterparty Entity 136,ICICI Bank,IND,NORMAL
CP-0137,Counterparty Entity 137,HDFC Bank,IND,NORMAL
CP-0138,Counterparty Entity 138,Axis Bank,IND,NORMAL
CP-0139,Counterparty Entity 139,HDFC Bank,IND,NORMAL
CP-0140,Counterparty Entity 140,Axis Bank,IND,HIGH_RISK
CP-0141,Counterparty Entity 141,Kotak Bank,IND,NORMAL
CP-0142,Counterparty Entity 142,Kotak Bank,IND,NORMAL
CP-0143,Counterparty Entity 143,Axis Bank,IND,NORMAL
CP-0144,Counterparty Entity 144,ICICI Bank,IND,NORMAL
CP-0145,Counterparty Entity 145,Axis Bank,IND,NORMAL
CP-0146,Counterparty Entity 146,ICICI Bank,IND,NORMAL
CP-0147,Counterparty Entity 147,ICICI Bank,IND,NORMAL
CP-0148,Counterparty Entity 148,HDFC Bank,IND,NORMAL
CP-0149,Counterparty Entity 149,SBI,IND,NORMAL
CP-0150,Counterparty Entity 150,HDFC Bank,IND,HIGH_RISK
CP-0151,Counterparty Entity 151,Kotak Bank,IND,NORMAL
CP-0152,Counterparty Entity 152,SBI,IND,NORMAL
CP-0153,Counterparty Entity 153,Kotak Bank,IND,NORMAL
CP-0154,Counterparty Entity 154,ICICI Bank,IND,NORMAL
CP-0155,Counterparty Entity 155,Axis Bank,IND,NORMAL
CP-0156,Counterparty Entity 156,HDFC Bank,IND,NORMAL
CP-0157,Counterparty Entity 157,Axis Bank,IND,NORMAL
CP-0158,Counterparty Entity 158,Kotak Bank,IND,NORMAL
CP-0159,Counterparty Entity 159,SBI,IND,NORMAL
CP-0160,Counterparty Entity 160,HDFC Bank,IND,HIGH_RISK
CP-0161,Counterparty Entity 161,HDFC Bank,IND,NORMAL
CP-0162,Counterparty Entity 162,ICICI Bank,IND,NORMAL
CP-0163,Counterparty Entity 163,HDFC Bank,IND,NORMAL
CP-0164,Counterparty Entity 164,Kotak Bank,IND,NORMAL
CP-0165,Counterparty Entity 165,Axis Bank,IND,NORMAL
CP-0166,Counterparty Entity 166,Kotak Bank,IND,NORMAL
CP-0167,Counterparty Entity 167,ICICI Bank,IND,NORMAL
CP-0168,Counterparty Entity 168,Kotak Bank,IND,NORMAL
CP-0169,Counterparty Entity 169,HDFC Bank,IND,NORMAL
CP-0170,Counterparty Entity 170,Axis Bank,IND,HIGH_RISK
CP-0171,Counterparty Entity 171,Axis Bank,IND,NORMAL
CP-0172,Counterparty Entity 172,ICICI Bank,IND,NORMAL
CP-0173,Counterparty Entity 173,ICICI Bank,IND,NORMAL
CP-0174,Counterparty Entity 174,SBI,IND,NORMAL
CP-0175,Counterparty Entity 175,HDFC Bank,IND,NORMAL
CP-0176,Counterparty Entity 176,HDFC Bank,IND,NORMAL
CP-0177,Counterparty Entity 177,ICICI Bank,IND,NORMAL
CP-0178,Counterparty Entity 178,HDFC Bank,IND,NORMAL
CP-0179,Counterparty Entity 179,ICICI Bank,IND,NORMAL
CP-0180,Counterparty Entity 180,HDFC Bank,IND,HIGH_RISK
CP-0181,Counterparty Entity 181,HDFC Bank,IND,NORMAL
CP-0182,Counterparty Entity 182,Kotak Bank,IND,NORMAL
CP-0183,Counterparty Entity 183,Axis Bank,IND,NORMAL
CP-0184,Counterparty Entity 184,SBI,IND,NORMAL
CP-0185,Counterparty Entity 185,Axis Bank,IND,NORMAL
CP-0186,Counterparty Entity 186,ICICI Bank,IND,NORMAL
CP-0187,Counterparty Entity 187,ICICI Bank,IND,NORMAL
CP-0188,Counterparty Entity 188,Kotak Bank,IND,NORMAL
CP-0189,Counterparty Entity 189,ICICI Bank,IND,NORMAL
CP-0190,Counterparty Entity 190,HDFC Bank,IND,HIGH_RISK
CP-0191,Counterparty Entity 191,ICICI Bank,IND,NORMAL
