customer_id,full_name,kyc_status,risk_rating,segment,country,created_at
CUST-0001,Customer_1,VERIFIED,LOW,RETAIL,IND,2025-07-08 00:00:00
CUST-0002,Customer_2,PENDING_REVERIFICATION,HIGH,CORPORATE,IND,2024-01-14 00:00:00
CUST-0003,Customer_3,PENDING_REVERIFICATION,LOW,RETAIL,IND,2024-06-03 00:00:00
CUST-0004,Customer_4,VERIFIED,LOW,SME,IND,2023-11-08 00:00:00
CUST-0005,Customer_5,VERIFIED,MEDIUM,RETAIL,IND,2023-11-10 00:00:00
CUST-0006,Customer_6,PENDING_REVERIFICATION,LOW,HNI,IND,2025-01-11 00:00:00
CUST-0007,Customer_7,VERIFIED,LOW,SME,IND,2023-11-20 00:00:00
CUST-0008,Customer_8,PENDING_REVERIFICATION,HIGH,RETAIL,IND,2024-02-12 00:00:00
CUST-0009,Customer_9,VERIFIED,LOW,SME,IND,2025-05-03 00:00:00
CUST-0010,Customer_10,PENDING_REVERIFICATION,LOW,SME,IND,2026-01-27 00:00:00
CUST-0011,Customer_11,VERIFIED,LOW,CORPORATE,IND,2024-12-16 00:00:00
CUST-0012,Customer_12,VERIFIED,MEDIUM,CORPORATE,IND,2023-09-17 00:00:00
CUST-0013,Customer_13,VERIFIED,MEDIUM,CORPORATE,IND,2025-01-10 00:00:00
CUST-0014,Customer_14,VERIFIED,MEDIUM,CORPORATE,IND,2024-09-14 00:00:00
CUST-0015,Customer_15,VERIFIED,HIGH,HNI,IND,2023-12-30 00:00:00
CUST-0016,Customer_16,VERIFIED,LOW,RETAIL,IND,2024-02-18 00:00:00
CUST-0017,Customer_17,PENDING_REVERIFICATION,MEDIUM,HNI,IND,2024-10-16 00:00:00
CUST-0018,Customer_18,VERIFIED,LOW,CORPORATE,IND,2024-04-02 00:00:00
CUST-0019,Customer_19,PENDING_REVERIFICATION,HIGH,SME,IND,2024-07-28 00:00:00
CUST-0020,Customer_20,PENDING_REVERIFICATION,LOW,CORPORATE,IND,2023-11-20 00:00:00
CUST-0021,Customer_21,PENDING_REVERIFICATION,MEDIUM,HNI,IND,2025-04-26 00:00:00
CUST-0022,Customer_22,VERIFIED,LOW,RETAIL,IND,2025-09-21 00:00:00
CUST-0023,Customer_23,PENDING_REVERIFICATION,HIGH,CORPORATE,IND,2025-02-18 00:00:00
CUST-0024,Customer_24,VERIFIED,LOW,CORPORATE,IND,2024-11-01 00:00:00
CUST-0025,Customer_25,PENDING_REVERIFICATION,MEDIUM,RETAIL,IND,2023-10-24 00:00:00
CUST-0026,Customer_26,VERIFIED,LOW,CORPORATE,IND,2023-11-13 00:00:00
CUST-0027,Customer_27,VERIFIED,MEDIUM,SME,IND,2024-11-15 00:00:00
CUST-0028,Customer_28,VERIFIED,MEDIUM,CORPORATE,IND,2025-12-18 00:00:00
CUST-0029,Customer_29,VERIFIED,MEDIUM,SME,IND,2025-11-15 00:00:00
CUST-0030,Customer_30,VERIFIED,MEDIUM,HNI,IND,2024-11-18 00:00:00
CUST-0031,Customer_31,VERIFIED,LOW,RETAIL,IND,2024-11-16 00:00:00
CUST-0032,Customer_32,VERIFIED,HIGH,HNI,IND,2025-06-13 00:00:00
CUST-0033,Customer_33,VERIFIED,HIGH,RETAIL,IND,2024-01-14 00:00:00
CUST-0034,Customer_34,VERIFIED,LOW,HNI,IND,2026-02-16 00:00:00
