transaction_id,account_id,counterparty_id,beneficiary_id,transaction_type,amount,currency,status,channel,device_id,location_id,transaction_timestamp,scenario_id
TXN-000001,ACC-0418,CP-0146,BEN-0028,OUTBOUND_WIRE,32815.38,INR,COMPLETED,UPI,DEV-0242,LOC-051,2026-09-12 05:18:00,NORMAL
TXN-000002,ACC-0421,CP-0303,BEN-0004,RTGS,30939.71,INR,COMPLETED,UPI,DEV-0539,LOC-093,2026-08-01 22:45:00,NORMAL
TXN-000003,ACC-0848,CP-0236,BEN-0218,RTGS,30095.48,INR,COMPLETED,UPI,DEV-0396,LOC-051,2026-08-04 06:46:00,NORMAL
TXN-000004,ACC-0429,CP-0470,BEN-0264,RTGS,10810.93,INR,COMPLETED,BRANCH,DEV-0217,LOC-017,2026-08-05 02:48:00,NORMAL
TXN-000005,ACC-1106,CP-0387,BEN-0225,IMPS,7479.62,INR,COMPLETED,BRANCH,DEV-0663,LOC-055,2026-06-07 05:34:00,NORMAL
TXN-000006,ACC-0695,CP-0288,BEN-0095,OUTBOUND_WIRE,16324.42,INR,COMPLETED,NET_BANKING,DEV-0584,LOC-035,2026-09-18 19:25:00,NORMAL
TXN-000007,ACC-1483,CP-0150,BEN-0257,RTGS,4440.62,INR,COMPLETED,BRANCH,DEV-0002,LOC-085,2026-06-04 06:41:00,NORMAL
TXN-000008,ACC-1056,CP-0162,BEN-0115,RTGS,13175.37,INR,COMPLETED,UPI,DEV-0120,LOC-051,2026-08-05 01:40:00,NORMAL
TXN-000009,ACC-0413,CP-0156,BEN-0294,RTGS,43511.09,INR,COMPLETED,NET_BANKING,DEV-0592,LOC-060,2026-06-08 11:15:00,NORMAL
TXN-000010,ACC-0016,CP-0468,BEN-0186,OUTBOUND_WIRE,44736.64,INR,COMPLETED,UPI,DEV-0525,LOC-071,2026-06-18 02:42:00,NORMAL
TXN-000011,ACC-0498,CP-0053,BEN-0260,NEFT,32544.08,INR,COMPLETED,UPI,DEV-0566,LOC-038,2026-08-24 04:03:00,NORMAL
TXN-000012,ACC-0780,CP-0446,BEN-0125,OUTBOUND_WIRE,14235.17,INR,COMPLETED,UPI,DEV-0206,LOC-038,2026-07-06 10:20:00,NORMAL
TXN-000013,ACC-0364,CP-0429,BEN-0055,IMPS,28107.5,INR,COMPLETED,MOBILE_APP,DEV-0521,LOC-032,2026-09-01 00:37:00,NORMAL
TXN-000014,ACC-0960,CP-0057,BEN-0011,RTGS,25156.25,INR,COMPLETED,NET_BANKING,DEV-0420,LOC-069,2026-08-19 08:49:00,NORMAL
TXN-000015,ACC-1355,CP-0355,BEN-0209,RTGS,37222.99,INR,COMPLETED,UPI,DEV-0313,LOC-023,2026-07-25 03:07:00,NORMAL
TXN-000016,ACC-0529,CP-0314,BEN-0021,INBOUND_WIRE,42000.62,INR,COMPLETED,NET_BANKING,DEV-0112,LOC-088,2026-06-27 18:20:00,NORMAL
TXN-000017,ACC-1154,CP-0401,BEN-0109,RTGS,40121.33,INR,COMPLETED,BRANCH,DEV-0378,LOC-089,2026-08-17 00:17:00,NORMAL
TXN-000018,ACC-0473,CP-0009,BEN-0048,NEFT,48620.11,INR,COMPLETED,NET_BANKING,DEV-0281,LOC-030,2026-07-23 09:29:00,NORMAL
TXN-000019,ACC-0298,CP-0134,BEN-0090,OUTBOUND_WIRE,45111.42,INR,COMPLETED,MOBILE_APP,DEV-0062,LOC-016,2026-08-25 22:01:00,NORMAL
TXN-000020,ACC-1147,CP-0256,BEN-0090,OUTBOUND_WIRE,1617.29,INR,COMPLETED,MOBILE_APP,DEV-0544,LOC-015,2026-09-11 21:07:00,NORMAL
TXN-000021,ACC-0858,CP-0090,BEN-0229,NEFT,28718.75,INR,COMPLETED,BRANCH,DEV-0109,LOC-072,2026-06-18 09:58:00,NORMAL
TXN-000022,ACC-0387,CP-0471,BEN-0176,RTGS,2511.99,INR,COMPLETED,MOBILE_APP,DEV-0304,LOC-056,2026-09-01 18:52:00,NORMAL
TXN-000023,ACC-1025,CP-0104,BEN-0282,OUTBOUND_WIRE,1579.48,INR,COMPLETED,UPI,DEV-0447,LOC-082,2026-06-20 18:35:00,NORMAL
TXN-000024,ACC-0782,CP-0260,BEN-0113,OUTBOUND_WIRE,33973.14,INR,COMPLETED,UPI,DEV-0170,LOC-015,2026-06-11 07:56:00,NORMAL
TXN-000025,ACC-0849,CP-0417,BEN-0116,OUTBOUND_WIRE,25859.38,INR,COMPLETED,UPI,DEV-0489,LOC-046,2026-07-31 14:23:00,NORMAL
TXN-000026,ACC-1210,CP-0251,BEN-0261,RTGS,18096.14,INR,COMPLETED,NET_BANKING,DEV-0755,LOC-069,2026-07-12 23:59:00,NORMAL
TXN-000027,ACC-0653,CP-0192,BEN-0107,NEFT,37796.41,INR,COMPLETED,MOBILE_APP,DEV-0746,LOC-066,2026-08-08 09:19:00,NORMAL
TXN-000028,ACC-0692,CP-0041,BEN-0059,NEFT,49221.48,INR,COMPLETED,UPI,DEV-0266,LOC-014,2026-06-27 17:52:00,NORMAL
TXN-000029,ACC-1303,CP-0136,BEN-0028,IMPS,18072.87,INR,COMPLETED,MOBILE_APP,DEV-0381,LOC-051,2026-07-28 19:28:00,NORMAL
TXN-000030,ACC-0569,CP-0380,BEN-0155,NEFT,33471.5,INR,COMPLETED,NET_BANKING,DEV-0057,LOC-025,2026-08-23 15:43:00,NORMAL
TXN-000031,ACC-1272,CP-0228,BEN-0298,OUTBOUND_WIRE,39320.86,INR,COMPLETED,MOBILE_APP,DEV-0268,LOC-051,2026-06-18 02:24:00,NORMAL
TXN-000032,ACC-0214,CP-0185,BEN-0273,OUTBOUND_WIRE,37820.4,INR,COMPLETED,MOBILE_APP,DEV-0215,LOC-036,2026-07-06 05:13:00,NORMAL
TXN-000033,ACC-0147,CP-0023,BEN-0010,RTGS,7643.48,INR,COMPLETED,NET_BANKING,DEV-0236,LOC-060,2026-07-10 05:54:00,NORMAL
TXN-000034,ACC-0482,CP-0017,BEN-0087,IMPS,35747.1,INR,COMPLETED,NET_BANKING,DEV-0372,LOC-099,2026-09-18 15:25:00,NORMAL
TXN-000035,ACC-1360,CP-0371,BEN-0091,RTGS,20789.18,INR,COMPLETED,NET_BANKING,DEV-0723,LOC-017,2026-06-04 14:07:00,NORMAL
TXN-000036,ACC-0997,CP-0488,BEN-0094,RTGS,47830.26,INR,COMPLETED,BRANCH,DEV-0386,LOC-086,2026-08-19 19:09:00,NORMAL
TXN-000037,ACC-0626,CP-0185,BEN-0009,RTGS,42118.48,INR,COMPLETED,MOBILE_APP,DEV-0594,LOC-014,2026-07-03 07:24:00,NORMAL
TXN-000038,ACC-0294,CP-0390,BEN-0170,RTGS,22157.05,INR,COMPLETED,NET_BANKING,DEV-0650,LOC-096,2026-09-17 01:06:00,NORMAL
TXN-000039,ACC-0976,CP-0162,BEN-0103,NEFT,10984.27,INR,COMPLETED,BRANCH,DEV-0627,LOC-072,2026-08-18 06:48:00,NORMAL
TXN-000040,ACC-1418,CP-0300,BEN-0002,INBOUND_WIRE,27937.09,INR,COMPLETED,UPI,DEV-0794,LOC-070,2026-06-26 00:43:00,NORMAL
